ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,length,sentiment,positive_count,negative_count
2382,nhẹ_nhàng thoải_mái thư_giãn,29/04/2023,12:40,5,308500015,51,positive,3,0
1490,rửa sạch nhẹ_tênh rửa bọt mịn thơm cực thích,2/11/2020,11:57,5,204900056,110,positive,2,0
2498,mùi hương dễ_chịu mát giá_thành ổn,3/5/2023,18:13,5,422206537,46,positive,2,0
1972,mát dịu thích lắm giá thích_hợp cho_viên,20/07/2023,19:01,5,100150059,62,positive,3,0
1348,chất màu tím chất sửa màu hồng_nhạt mùi dê mỏng nhẹ không_bị đổ dầu,22/05/2021,13:24,5,422207414,119,positive,1,0
801,,13/10/2020,19:19,5,100230064,6,positive,0,0
679,dễ_dàng thoải_mái thư_giãn,2/5/2023,10:00,5,422205164,48,positive,2,0
138,đắp mê,2/7/2023,20:04,5,422205809,32,positive,0,0
1394,dầu mụn mát nhẹ mặt tối mặt chảo dầu mụn sản_phẩm cồn,5/10/2021,12:11,3,422200305,155,negative,0,0
350,ổn không_bị,6/8/2022,14:11,5,422203301,15,positive,2,0
715,tốt,20/04/2023,10:06,5,200400004,3,positive,1,0
1734,mùi dễ_chịu,20/11/2023,10:08,5,100220037,23,positive,1,0
3854,lọ nhỏ_xíu giá đắt lọ hiệu_quả thất_vọng,28/03/2022,14:56,1,100210020,82,negative,1,1
2241,lọ trắng mịn kiếm mãi hợp_mặt nhạy_cảm lọ,10/10/2023,20:20,5,206400009,112,positive,1,0
689,thành ổn,1/5/2023,9:30,5,204100019,47,positive,1,0
140,đối_xử tretinoin nhạy_cảm xịt_khoáng ẩm dịu không_thôi mà_còn chất dịu ưng vòi xịt sương thấm,13/12/2023,23:42,5,204100078,256,positive,1,0
415,,15/03/2023,7:31,5,422208974,9,positive,0,0
35,sản_phẩm hiệu_quả cực_kì giá_thành,17/04/2023,13:48,5,100230059,79,positive,1,0
4319,sản_phẩm lỏng đổ rahari_cẩn hiệu trắng,11/4/2020,17:53,4,223600032,78,positive,0,0
403,sản_phẩm tốt,15/04/2023,20:27,5,422208972,21,positive,1,0
616,ổn kháng bụi không_nặng mặt thấm_không_lên tông_trừ hương_liệu gắt_không_hợp,27/03/2022,2:21,4,253900006,177,positive,2,2
1162,bình_thường hoàn_thành đẹp hôm ẩm tróc_đồ nhẹ,2/9/2023,17:31,4,422217292,96,positive,1,0
2438,mặt tốt,8/11/2020,0:07,5,422205162,19,positive,1,0
2466,hàng,18/06/2019,16:19,5,422205160,57,positive,0,0
236,đỉnh,30/11/2021,21:32,5,422204259,12,positive,1,0
3338,sữa tốt mỏng nhẹ thấm mùi cồn,4/10/2019,19:19,4,223600010,64,positive,1,0
1453,dầu serum_rửa sạch sâu khô_bênh cánh mũi tróc_nguyên mặt căng,20/08/2022,11:48,3,204900159,78,negative,0,0
2427,đắp đốt mụn sưng hẵn sạch sợi bã,2/6/2021,12:25,5,422202253,56,positive,1,0
341,hậu_cảm tốt nhất_ý tự_nhiên không_nhờn_rít mùi khó_chịu dễ_tính mùi không_khó_chịu mát_mịn rẻ hậu_cảm tốt,14/03/2020,15:54,5,422211446,260,positive,3,2
56,ẩm tốt dịu nhẹ nhạy_cảm_không_mùi thích,1/8/2022,22:43,5,318900012,57,positive,2,0
2456,mặt_nạ đắp hiệu_quả miếng đắp đắp trắng trông,10/2/2020,16:15,5,308500013,121,positive,1,0
966,hỗn_hợp dầu chữ má sản_phẩm dịu nhẹ ẩm tốt nhé_bình hết_nhiên vòi bơm giăng,29/03/2023,15:47,5,357100004,197,positive,2,0
2986,tiện_lợi ngứa_mẫn đỏ retinol không_đủ ẩm_xài đỡ bé tư_vấn tốt nhiệt_tình,7/8/2023,16:06,5,422200342,212,positive,2,1
1711,bha êm_không_có châm chích rát thích sản_phẩm bôi dầu dậy rửa mặt mướt mọng không_bị kiên_trì mụn sạch lỗ chân lông,6/5/2024,7:14,5,100220035,257,positive,2,0
2749,dâu thích không_bị tiếp,13/10/2022,20:51,5,331300002,46,positive,2,0
676,hàng sản_phẩm không_khác,17/01/2023,16:16,3,226200018,66,negative,0,0
1495,tốt,30/04/2020,20:11,5,204900159,3,positive,1,0
2753,tốt mỏng mịn thấm,11/6/2022,12:45,5,422211276,46,positive,1,0
704,thích hasaki sản_phẩm,28/04/2023,18:42,5,100230057,47,positive,1,0
2140,hôm sản_phẩm yên_tâm kiếm số_lượng đơn hàng hàng hộp không_có_mác dấu_hiệu nhắn phản_hồi sản_phẩm không_hơi,21/02/2024,8:23,4,422209841,364,positive,1,0
404,,9/4/2023,21:46,4,200400003,9,positive,0,0
2796,bác_sĩ thẩm_mĩ liễu bôi lazer dịu nhẹ hiệu_quả,24/09/2024,15:13,5,100180113,99,positive,1,0
253,không_đọc kỹ chữ tảy tặng hàng hasaki giá_cả hợp_lý hàng hãng yên_tâm,12/8/2021,8:37,4,205100146,153,positive,2,0
691,mùi hương dễ_chịu mát giá_thành ổn,30/04/2023,16:45,5,204100054,47,positive,2,0
701,thích hasaki sản_phẩm,29/04/2023,18:34,5,100230064,48,positive,1,0
1220,,25/10/2020,13:38,5,422217292,33,positive,0,0
2195,tặng kèm,23/08/2022,7:32,4,249500028,32,positive,0,0
4038,dùg miếng mặt_nạ dão không_ôm khuôn_mặt cương ngọc_dùg thích,19/01/2021,0:34,5,365000013,84,positive,1,0
2308,rât_hợp dầu mụn,2/8/2024,21:59,5,422205164,24,positive,1,0
2385,mùi hương dễ_chịu mát giá_thành ổn,29/04/2023,11:21,3,204100019,47,negative,2,0
2327,mùi hương dễ_chịu lành_tính giá_thành rẻ,3/5/2023,17:48,5,204100019,53,positive,2,0
145,phẩm tốt túi_tiền hiệu_quả,19/04/2023,20:48,5,422211446,49,positive,2,0
2891,hồi bình_thường kết_hợp uống thần hãng trắng hẳn mỹ đen_dị chân_ái đời,8/1/2021,8:23,5,358300002,204,positive,1,0
35,sản_phẩm thích lắm,17/04/2023,13:44,5,318900011,48,positive,1,0
3972,chân_ái bọt sạch mà_còn ẩm tốt rửa tẩy_kĩ cảm_nhận tác_dụng serum dược mỹ_phẩm đồng_tiền,29/10/2022,21:52,5,331300002,174,positive,1,0
162,hàng tốt nâng giá,9/1/2021,6:40,3,248700035,38,negative,1,0
1144,serum dịu nhẹ không_gây_kích_ứng nhạy_cảm dầu mụn rửa không_bị khô_kích_ứng serum hãng nổi mụn viêm đỏ,7/8/2023,14:20,5,422218629,296,positive,2,3
672,dễ_dàng thoải_mái thư_giãn,4/5/2023,16:47,5,308500004,49,positive,2,0
171,serum dạng dầu không_rửa_mặt dính,18/11/2022,0:24,4,422206648,62,positive,0,0
2665,tệ_bụi gĩu,10/4/2022,12:23,1,243300007,38,negative,0,2
3317,sản_phẩm kém bền hỏng,12/11/2021,10:02,1,308500037,49,negative,0,1
562,không_bị dầu mặt_mũi không_bị bóng bôi chút tán mặt không_bị vón,20/04/2021,11:08,5,204900013,162,positive,3,0
745,ứng_dụng tặng bông_tẩy không_thấy tặng,29/08/2022,8:59,5,200400004,60,positive,0,0
3342,mặt_nạ thích mát đầu châm_chích dịu nốt mụn xẹp ưng lắm tủ_lạnh xài_thích,14/08/2020,13:40,5,308100018,164,positive,3,0
3684,hài_lòng,17/03/2022,11:49,5,226200017,12,positive,1,0
205,ổn lớp bóng nhẹ serum,19/05/2022,23:21,5,422211446,115,positive,1,0
680,,30/04/2023,14:33,5,308500013,2,positive,0,0
256,đỉnh thiệt_tẩy dịu nhẹ sạch bụi bẩn,27/12/2022,18:58,5,200400004,58,positive,1,1
1074,sạch cực_kỳ nhạy_cảm thiên_dầu đỏ,18/12/2022,18:50,5,422201504,94,positive,0,0
1292,sản_phẩm tốt_dịu nhẹ bọt mịn mặt ẩm_không_hề,15/05/2019,11:49,5,204900056,79,positive,2,0
2431,thơm nhẹ mượt,26/04/2021,19:37,5,308500004,20,positive,1,0
2105,rửa mặt sạch không_bị,24/06/2021,5:49,5,422211501,25,positive,1,0
2453,,30/03/2020,0:37,5,308500018,2,positive,0,0
1428,mụn serum,6/1/2021,17:24,5,422217029,48,positive,0,0
695,dễ_dàng thoải_mái thư_giản,29/04/2023,11:43,5,308500009,47,positive,2,0
3116,rẻ,7/2/2024,11:07,5,223600035,42,positive,1,0
1492,tôt,16/10/2020,10:37,5,100230069,8,positive,0,0
3015,,15/12/2016,12:33,5,100150066,38,positive,0,0
792,rát sạch không_thích lắm rít nhạy_cảm không_ưng,4/4/2021,1:56,3,355500010,83,negative,2,1
1895,chân_ái đời viêm mụn đỏ tối_đắp hôm viêm,12/4/2024,21:35,5,422205163,107,positive,0,0
788,hàng hãng đàng_hoàng dầu hỗn_hợp lắm không_nhất_thiết nhạy_cảm_xài hãng,17/06/2021,9:42,5,100230064,155,positive,1,0
3873,mặt cổ tông_í thâm_mụn mờ,2/4/2023,9:25,5,422208242,91,positive,0,0
2459,,10/1/2020,14:31,5,308500009,5,positive,0,0
157,nắp xám không_sạch nắp nhạt sạch nắp hồng không_cồn nắp nhạt không_tạo bọt trượt không_mượt bù lành_tính sạch_sẽ lớp công_nghiệp cushion sương_sương miếng không_lên mụn_ẩn giá công_dụng độ toàn chấm,30/01/2023,11:22,5,422211446,370,positive,0,0
2418,nhảy_cảm mừng,13/08/2021,17:20,5,343100028,60,positive,0,0
243,,6/10/2021,22:27,5,422208807,14,positive,0,0
1083,kỹ bảng thành_phần không_ẻm mùi ẻm mùi mùi dễ_chịu nhãn_hiệu pháp mùi ẻm sạch oréal tốt,5/6/2022,22:38,5,422204906,229,positive,2,0
2143,dư_retinol viderm tầm tuần retinol zo_dỡ không_hợp cầu liên_hệ,15/04/2023,18:34,5,310100003,201,positive,1,1
858,hasaki hàng tác_dụng lắm,8/4/2024,22:06,5,214000001,52,positive,0,0
409,sản_phẩm tốt,11/4/2023,15:37,5,100230057,17,positive,1,0
1513,ẩm mịn trắng sài hũ đêm trắng hồng tán,8/6/2023,20:18,5,422211548,100,positive,0,0
273,hợp dầu,26/06/2021,23:08,5,422208807,19,positive,1,0
4390,toàn nhẹ_nhàng mặt thường_ngày mùi dễ_chịu thích,22/10/2017,2:34,5,100750038,121,positive,3,0
1670,chất đặc thấm không_nhờn bóng dầu mụn thích,9/12/2021,11:18,5,318900019,78,positive,1,0
545,mặt_nạ tác_dụng thải độc_không_mà đắp mặt,15/05/2021,20:22,4,365000014,83,positive,0,0
409,sản_phẩm tốt,11/4/2023,15:37,5,200400004,17,positive,1,0
2305,tạm ổn thích evene,26/12/2016,7:44,4,100150058,29,positive,2,0
712,,27/04/2023,17:29,5,308500015,45,positive,0,0
1149,không_thấy hàng tặng,11/1/2023,15:22,5,422218631,29,positive,0,0
262,hài_lòng sản_phẩm,15/07/2021,21:58,4,357100011,25,positive,1,0
135,phục_hồi,22/10/2024,6:08,5,422217972,33,positive,0,0
2052,đợt sài mùi hắc khó_chịu sài bết,14/09/2022,9:58,1,422207413,79,negative,0,1
815,,24/02/2020,23:20,5,422216594,2,positive,0,0
441,cửa_hàng tặng kèm tuýp rửa mặt chất màu vàng thấm tốt hoàn_thành ổn không_bị vón bện trắng cũ thích_bản cũ nâng tông_bản không_nên dặm phấn_phủ không_nhìn mặt_mũi xám_nghét,23/10/2023,13:11,5,204900013,285,positive,4,0
1114,không_hợp sản_phẩm lắm thấm cộng chất_mềm mịn mùi thơm,30/10/2021,1:27,3,223600040,101,negative,2,1
2659,thích sản_phẩm dày không_bị,30/06/2022,12:06,5,422203809,49,positive,2,0
2596,mềm,20/11/2018,19:16,5,100230069,23,positive,0,0
761,sản_phẩm sản_phẩm cực_hợp bóng nhờn nổi mụn kiềm dầu tốt,13/02/2022,17:32,5,204100003,139,positive,2,1
16,tốt tầm giá không_tẩy mascara_lì hàng dầu mụn_xài,14/10/2023,16:54,5,205100136,115,positive,1,0
2214,hàng đẹp hình,15/01/2021,14:47,5,206200079,19,positive,1,0
2638,giá_cả,20/11/2023,20:36,5,422203301,37,positive,0,0
2260,mịn lắm mùi nồng,23/04/2021,2:03,5,245500001,28,positive,0,0
2372,dễ_dàng thoải_mái thư_giãn,29/04/2023,19:36,5,422205163,47,positive,2,0
2953,,13/12/2019,10:37,5,200500283,4,positive,0,0
409,sản_phẩm tốt,11/4/2023,15:37,5,100230059,17,positive,1,0
246,giá rẻ tặng không_thấy,22/09/2021,18:30,5,422211446,70,positive,2,0
2288,màu sản_phẩm màu hồng màu hồng mềm_mịn,31/05/2022,14:39,5,223600017,143,positive,0,0
3007,serum mịn mùi không_hăng lắm nhẹ nhẹ đầu sài không_nên bọt bọt cồn rửa rít ngược_lại rửa cảm_nhận serum thiên_nhiên hóa chất cồn,20/02/2022,14:03,5,253900007,253,positive,0,0
703,dễ_dàng thoải_mái thư_giãn,28/04/2023,12:34,5,422205163,48,positive,2,0
2319,dễ_dàng thoải_mái thư_giãn,4/5/2023,17:45,5,308500009,47,positive,2,0
350,nhẹ dịu_tẩy độ_ẩm không_bị căng_rít hãng,29/09/2019,10:10,5,205100137,186,positive,1,0
709,thích hasaki sản_phẩm,27/04/2023,19:27,5,100230056,41,positive,1,0
189,tuýp cảm_nhận thích ạ_chất thấm,16/11/2022,9:16,5,422203617,96,positive,1,0
1734,mùi dễ_chịu,20/11/2023,10:08,5,422206042,23,positive,1,0
2927,mặt_nạ chất tiếc_chất chất_dư mặt đắp mặt_nạ ẩm tốt mụn nội_tiết trộm_vía đắp dịu dịu,29/04/2024,23:25,5,422207148,196,positive,1,0
1478,serum sạch tốt kiềm dầu tốt,13/08/2021,20:06,5,204900004,49,positive,2,0
815,,24/02/2020,23:20,5,100230064,2,positive,0,0
749,chuẩn_tẩy quốc_dân,21/07/2022,20:04,5,200400003,40,positive,0,0
4298,mặt_nạ peptide má lành_tính thuần_dịu đỏ_dưỡng chất không_bị nhễ_nhại,11/3/2024,21:32,5,422205635,171,positive,1,0
1157,mặt_nạ đắp ổn ôm khít mặt không_châm,10/8/2024,21:43,5,422212871,39,positive,1,0
2460,thích cực mát xẹp nốt mụn sưng đêm dầu hạn_chế tiết dầu tốt,10/11/2019,19:55,5,422205162,136,positive,3,0
2221,nhạy_cảm không_bị,25/07/2023,16:55,5,211300005,57,positive,1,0
581,đọc nhận_xét chê tùy hợp không_thôi trắng dầu nhẹ sài tệp thấm mùi tiếng tệp hẳn công_nghiệp mặc_dù thâm chỗ rỗ mụn không_bị mụn mà_còn,27/11/2023,15:44,5,253900006,334,positive,2,3
1594,pl tuýp mụn chậm lắm thâm hầu_như không_cải_thiện,11/2/2023,18:12,4,327500002,114,positive,1,1
1665,mùi không_quá_hắc mát má màu lắm phục_hồi ổn bôi thấm áp kiểu thấm hôm dậy rửa mặt nhờn nhờn chứng_tỏ vẩn ổn,9/3/2022,12:23,5,318900005,248,positive,2,0
3111,sản_phẩn tốt không_mùi hương_liệu thích chất đặc_thẩm_thấu căng mướt,17/05/2021,20:15,5,204100013,123,positive,2,0
695,thích hasaki sản_phẩm,29/04/2023,18:46,5,200400004,47,positive,1,0
2285,nhạy_cảm nặn mụn xịt_khoáng ổn_áp_mềm sản_phẩm,21/07/2023,10:50,5,100150059,91,positive,1,0
684,thích hasaki sản_phẩm,30/04/2023,18:47,5,100230057,41,positive,1,0
3876,dưỡng natrue ẩm tốt màu tư_vấn,25/01/2024,21:30,5,248700076,109,positive,1,0
4114,tế_bào chết tốt thơm,18/11/2023,17:04,5,422207812,31,positive,2,0
1176,dầu mụn ổn không_bị mụn không_thấy nâng_tông kém,22/08/2022,19:46,3,249500013,108,negative,2,1
1051,không_bí không_đổ dầu_dưỡng ẩm_nhẹ lớp mỏng xịn,30/04/2021,17:40,5,248700035,85,positive,1,0
722,sản_phẩm,14/04/2023,13:58,5,100230056,15,positive,0,0
336,,25/04/2020,22:17,5,205100146,9,positive,0,0
2662,bịch_bịch tệ_dập không_kỹ bét tùm rụng bịch,21/05/2022,10:07,1,243300007,201,negative,0,3
3463,công_nghiệp mẫn_cảm ưng_ý giá tặng mắt_kính,23/05/2024,13:39,5,343100024,171,positive,2,0
368,sạch sâu lớp nhẹ_nhàng không_nhờn rít,26/10/2018,19:15,5,422206648,51,positive,1,0
257,giá rẻ hàng bọc,8/8/2021,20:26,5,422200306,58,positive,2,0
1188,hsd quà tặng kèm,11/6/2022,10:51,5,249500013,35,positive,0,0
4233,sản_phẩm chất_lượng tốt mụn mụn gân uống thuốc,26/08/2023,22:34,5,345800008,142,positive,1,0
429,công_nghiệp lảoch không_chê uoi dầu mụn_xài lắm không_bị bít_tắc nhờn mụn,9/8/2024,8:10,5,422216416,160,positive,1,1
286,thíc,28/05/2021,8:13,5,205100146,8,positive,0,0
1402,mùi thơm dậy mặt không_bị_dầu nặn mụn rát,5/4/2021,20:40,4,422220469,70,positive,2,0
2349,dễ_dàng thoải_mái thư_giãn,1/5/2023,12:01,5,422205160,48,positive,2,0
1387,sài lắm hỗn_hợp thiên_dầu không_bết_rít chất thấm_dưỡng ẩm tốt mềm mịn tróc mũi mùa đông hợp giá hơi_chát htmg đỉnh sài hủ tuýt,28/12/2021,21:08,5,422209663,240,positive,4,0
3666,mùi trà tế_bào chết tốt không_kích_ứng loại_bỏ mụn đầu đen_cực tốt chê,5/9/2021,20:44,5,422206043,119,positive,3,2
1219,nổi mụn giá mềm không_bí không_lên_tông mùi dễ_chịu văn_phòng mà_còn mặt cổ công_nghiệp,1/11/2020,21:03,5,249500013,271,positive,1,1
3323,thích nâng tông thấm,24/02/2022,23:46,5,223600034,51,positive,1,0
3146,tốt,8/8/2024,20:51,5,357100011,3,positive,1,0
